CNAME,CCODE,PADDRESS1,PADDRESS2,STATION,COPBALANCE,CDRCR,SALEAC,PURAC,PCODE,SHORTNAME,DISCOUNTPE,CDSAME,PCST_STNO,PVATNUMBER,PGSTNUMBER,DLNO,TWOPRICE,CSTSALE,PURSALEAC,STATEINOUT,EMAILID1,EMAILID2,EMAILID3
SBL,1,,,DELHI,2872.20,DR,8,13,5,SBL,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
WSI,2,,,,26038.00,CR,8,13,6,WSI,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
BAKSON,3,,,,0.00,CR,8,13,8,BAKSON,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
B/K,4,,,,0.00,CR,8,13,9,B/K,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
WHEEZAL,5,,,,0.00,CR,8,13,10,WHEEZAL,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
R.W,6,,,,0.00,CR,1,2,11,R.W,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
HASLAB,7,,,,0.00,CR,8,13,12,HASLAB,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
HAPDCO,8,,,,0.00,CR,8,13,13,HAPDCO,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
WSG,9,,,,0.00,CR,8,13,14,WSG,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
WELLMENS,10,,,,0.00,CR,8,13,15,WELLMENS,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
INDO GERMEN,11,,,,0.00,CR,8,13,16,IDG,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
GPW,12,,,,0.00,CR,10,15,17,GPW,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
USHA,13,,,,0.00,CR,8,13,18,USHA,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
DR.JOHNS,14,,,,0.00,CR,1,2,19,DR.JOHNS,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
ADVIN,15,,,,0.00,CR,8,13,20,ADVIN,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
ALLEN,16,,,,0.00,CR,8,13,21,ALLEN,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
PHL,17,,,,0.00,CR,8,13,22,PHL,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
BHP,18,,,,0.00,CR,9,14,23,BHP,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
LORDS,19,,,,0.00,CR,8,13,24,LORDS,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
BL,20,,,,0.00,CR,8,13,26,BL,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
R.S.B.P,21,,,,0.00,CR,8,13,27,R.S.B.P,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
GLOBULES,22,,,,0.00,CR,8,13,28,GLOBULES,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
ADEL,23,,,,0.00,CR,8,13,31,ADEL,0.00,TRUE,,,,,FALSE,0,TRUE,FALSE,,,
JNSON,24,JANSON KARNAL,,,0.00,CR,8,13,32,JNSON,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
ASHOKA,25,HISAR,,HISAR,0.00,CR,9,14,33,ASHOKA,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
HAHNEMANN,26,KOLKATA,,,0.00,CR,8,13,34,HAH,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
PPW(D),27,DELHI,,,0.00,CR,10,15,58,PPW,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
REPL,28,,,,0.00,CR,8,13,67,REPL,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
DR.N.C,29,,,HISAR,0.00,CR,1,2,69,,0.00,TRUE,,,,,FALSE,0,FALSE,FALSE,,,
DR.JAGPAL,30,,,HISAR,0.00,CR,9,14,76,HISAR,0.00,TRUE,,,,,FALSE,0,FALSE,FALSE,,,
MR.,31,,,,13662.00,DR,9,14,87,,0.00,TRUE,,,,,FALSE,0,FALSE,FALSE,,,
OCEANIC,32,,,,0.00,CR,8,13,128,OCEANIC,0.00,TRUE,,,,,TRUE,0,TRUE,FALSE,,,
