ACIDUM SAR,ACIDUM SARCOLACTICUM
ACIDUM SAL,ACIDUM SALICYLICUM
ACIDUM SUL,ACIDUM SULPHURICUM
ACIDUM TAN,ACIDUM TANNICUM
ABELMOSCHUS,ABELMOSCHUS
ABIES CAN,ABIES CANADENSIS
ABROMA RAD,ABROMA RADIX
ABROTANUM,ABROTANUM
ABSINTHIUM,ABSINTHIUM
ACALYPHA IND,ACALYPHA INDICA
ACETANILIDUM,ACETANILIDUM(ANTIFEBRINUM)
ACHYRANTHES ASP,ACHYRANTHES ASPERA
ACIDUM ACE,ACIDUM ACETICUM
ACIDUM AGA,ACIDUM AGARICIUM
ACIDUM BOR,ACIDUM BORACICUM
ACIDUM BUT,ACIDUM BUTYRICUM
ACIDUM CHROM,ACIDUM CHROMICUM
ACIDUM CIT,ACIDUM CITRICUM
ACIDUM GAL,ACIDUM GALLICUM
ACIDUM HYDR BR,ACIDUM HYDROBROMICUM
ACIDUM LAC,ACIDUM LACTICUM
ACIDUM MUR,ACIDUM MURIATICUM
ACIDUM NIT MUR,ACIDUM NITRO MURIATICUM
ACIDUM HYDR FL,ACIDUM HYDROFLUORICUM
ACIDUM PIC,ACIDUM PICRICUM
ACIDUM TAR,ACIDUM TARTARICUM
ACIDUM URI,ACIDUM URICUM
ACONITUM FER,ACONITUM FEROX
ACONITUM LYC,ACONITUM LYCOCTONUM
ACONITUM RAD,ACONITUM RADICE
ACORUS CAL,ACORUS CALAMUS
ACTAEA SPI,ACTAEA SPICATA
ACTH,ADRENOCORTICOTROPHIN(ACTH
ADLUMIA FUN,ADLUMIA FUNGOSA
ADONIS VER,ADONIS VERNALIS
ADRENALINUM,ADRENALINUM
ADRENALINUM MUR,ADRENALINUM MUR
AEGLE MAR,AEGLE MARMELOS
AESCULINUM,AESCULINUM
AESCULUS GLA,AESCULUS GLABRA
AESCULUS HIP,AESCULUS HIPPOCASTANUM
AETHIOPS ANT,AETHIOPS ANTMONIALIS
AETHIOPS MER MIN,AETHIOPS MERCURIALIS MINERALIS
AETHUSA CYN,AETHUSA CYNAPIUM
AGARICUS EME,AGARICUS EMETICUS
AGARICUS PHA,AGARICUS PHALLOIDES
AGAVE AME,AGAVE AMERICANA
AGNUS CAS,AGNUS CASTUS
AGRAPHIS NUT,AGRAPHIS NUTANS
